#cnt bytes time_avg time_min bandwidth
1776 14208 3.39812e-05 3.19004e-05 4.45386e+08
1781 14248 3.37754e-05 3.19004e-05 4.4664e+08
1786 14288 3.38199e-05 3.19958e-05 4.46559e+08
1791 14328 3.41814e-05 3.20435e-05 4.47143e+08
1796 14368 3.41566e-05 3.21031e-05 4.47559e+08
1801 14408 3.42597e-05 3.21507e-05 4.48139e+08
1806 14448 3.3885e-05 3.21984e-05 4.48718e+08
1811 14488 3.37327e-05 3.21984e-05 4.4996e+08
1816 14528 3.4165e-05 3.21984e-05 4.51202e+08
1821 14568 3.40624e-05 3.21984e-05 4.52444e+08
1826 14608 3.45879e-05 3.21984e-05 4.53687e+08
1831 14648 3.38092e-05 3.21984e-05 4.54929e+08
1836 14688 3.41661e-05 3.21984e-05 4.56171e+08
1841 14728 3.42638e-05 3.23415e-05 4.5539e+08
1846 14768 3.41517e-05 3.23057e-05 4.57133e+08
1851 14808 3.42385e-05 3.23534e-05 4.57695e+08
1856 14848 3.42655e-05 3.24011e-05 4.58256e+08
1861 14888 3.39991e-05 3.23892e-05 4.5966e+08
1866 14928 3.44391e-05 3.24011e-05 4.60725e+08
1871 14968 3.4344e-05 3.24488e-05 4.61281e+08
1876 15008 3.40971e-05 3.24011e-05 4.63194e+08
1881 15048 3.46251e-05 3.24607e-05 4.63576e+08
1886 15088 3.44867e-05 3.24965e-05 4.64297e+08
1891 15128 3.45097e-05 3.25441e-05 4.64846e+08
1896 15168 3.4608e-05 3.24965e-05 4.66759e+08
1901 15208 3.42876e-05 3.25441e-05 4.67304e+08
1906 15248 3.44912e-05 3.25918e-05 4.67847e+08
1911 15288 3.46695e-05 3.25918e-05 4.69075e+08
1916 15328 3.43496e-05 3.25441e-05 4.70991e+08
1921 15368 3.44256e-05 3.26514e-05 4.70669e+08
1926 15408 3.48541e-05 3.26514e-05 4.71894e+08
1931 15448 3.4453e-05 3.26991e-05 4.72429e+08
1936 15488 3.44409e-05 3.26991e-05 4.73652e+08
1941 15528 3.46167e-05 3.27468e-05 4.74184e+08
1946 15568 3.48825e-05 3.27945e-05 4.74714e+08
1951 15608 3.49209e-05 3.28422e-05 4.75243e+08
1956 15648 3.47964e-05 3.27945e-05 4.77154e+08
1961 15688 3.49009e-05 3.29018e-05 4.76813e+08
1966 15728 3.52168e-05 3.29494e-05 4.77337e+08
1971 15768 3.47091e-05 3.29494e-05 4.78551e+08
1976 15808 3.49149e-05 3.29971e-05 4.79072e+08
1981 15848 3.49629e-05 3.29971e-05 4.80284e+08
1986 15888 3.53354e-05 3.31402e-05 4.79418e+08
1991 15928 3.51695e-05 3.31998e-05 4.79762e+08
1996 15968 3.51691e-05 3.31521e-05 4.81659e+08
2001 16008 3.53101e-05 3.32594e-05 4.81308e+08
2006 16048 3.54118e-05 3.33071e-05 4.8182e+08
2011 16088 3.53869e-05 3.33428e-05 4.82502e+08
2016 16128 3.54649e-05 3.34501e-05 4.82151e+08
2021 16168 3.58095e-05 3.36528e-05 4.80436e+08
2026 16208 3.56495e-05 3.36528e-05 4.81624e+08
2031 16248 3.57392e-05 3.37005e-05 4.8213e+08
2036 16288 3.56356e-05 3.37005e-05 4.83317e+08
2041 16328 3.58415e-05 3.38435e-05 4.82456e+08
2046 16368 3.58636e-05 3.38435e-05 4.83638e+08
2051 16408 3.58196e-05 3.39031e-05 4.83967e+08
2056 16448 3.57651e-05 3.39985e-05 4.83786e+08
2061 16488 3.58679e-05 3.39985e-05 4.84963e+08
2066 16528 3.62424e-05 3.39508e-05 4.86822e+08
2071 16568 3.62736e-05 3.39985e-05 4.87316e+08
2076 16608 3.59999e-05 3.39508e-05 4.89178e+08
2081 16648 3.61909e-05 3.40462e-05 4.88983e+08
2086 16688 3.63764e-05 3.40462e-05 4.90158e+08
2091 16728 3.58869e-05 3.40462e-05 4.91333e+08
2096 16768 3.59075e-05 3.41058e-05 4.91647e+08
2101 16808 3.5763e-05 3.41535e-05 4.92132e+08
2106 16848 3.58709e-05 3.41535e-05 4.93303e+08
2111 16888 3.63065e-05 3.40939e-05 4.95339e+08
2116 16928 3.6113e-05 3.41535e-05 4.95645e+08
2121 16968 3.63401e-05 3.42488e-05 4.95433e+08
2126 17008 3.636e-05 3.42488e-05 4.96601e+08
2131 17048 3.63191e-05 3.42965e-05 4.97077e+08
2136 17088 3.60051e-05 3.42965e-05 4.98243e+08
2141 17128 3.62505e-05 3.43442e-05 4.98716e+08
2146 17168 3.63685e-05 3.43442e-05 4.99881e+08
2151 17208 3.94758e-05 3.52979e-05 4.87508e+08
2156 17248 3.93535e-05 3.52025e-05 4.89965e+08
2161 17288 3.88734e-05 3.46541e-05 4.98873e+08
2166 17328 3.89208e-05 3.46899e-05 4.99511e+08
2171 17368 3.88792e-05 3.47018e-05 5.00492e+08
2176 17408 3.84899e-05 3.45469e-05 5.03895e+08
2181 17448 3.87884e-05 3.47018e-05 5.02798e+08
2186 17488 3.89074e-05 3.47495e-05 5.03259e+08
2191 17528 3.9151e-05 3.47495e-05 5.0441e+08
2196 17568 3.87759e-05 3.47495e-05 5.05561e+08
2201 17608 3.90606e-05 3.45945e-05 5.08982e+08
2206 17648 3.90232e-05 3.46541e-05 5.09261e+08
2211 17688 3.88713e-05 3.47018e-05 5.09714e+08
2216 17728 3.90176e-05 3.48091e-05 5.09292e+08
2221 17768 3.63996e-05 3.47972e-05 5.10616e+08
2226 17808 3.62021e-05 3.47972e-05 5.11765e+08
2231 17848 3.60651e-05 3.48449e-05 5.12213e+08
2236 17888 3.60527e-05 3.48449e-05 5.13361e+08
2241 17928 3.6582e-05 3.49998e-05 5.12231e+08
2246 17968 3.64348e-05 3.49998e-05 5.13374e+08
2251 18008 3.66081e-05 3.49998e-05 5.14517e+08
2256 18048 3.66806e-05 3.50952e-05 5.14258e+08
2261 18088 3.68046e-05 3.50952e-05 5.15398e+08
2266 18128 3.6934e-05 3.51906e-05 5.15138e+08
2271 18168 3.67633e-05 3.52502e-05 5.15402e+08
2276 18208 3.67037e-05 3.52502e-05 5.16536e+08
2281 18248 3.67686e-05 3.54409e-05 5.14885e+08
2286 18288 3.67116e-05 3.54409e-05 5.16014e+08
2291 18328 3.70756e-05 3.55482e-05 5.15582e+08
2296 18368 3.70344e-05 3.55959e-05 5.16015e+08
2301 18408 3.70497e-05 3.57032e-05 5.15584e+08
2306 18448 3.70551e-05 3.57389e-05 5.16188e+08
2311 18488 3.74146e-05 3.58462e-05 5.15759e+08
2316 18528 3.7266e-05 3.57509e-05 5.18253e+08
2321 18568 3.74569e-05 3.58462e-05 5.1799e+08
2326 18608 3.79446e-05 3.59058e-05 5.18244e+08
2331 18648 3.7771e-05 3.58462e-05 5.20222e+08
2336 18688 3.74656e-05 3.59058e-05 5.20472e+08
2341 18728 3.749e-05 3.58939e-05 5.2176e+08
